run_id,event,episode,attempt,step,wall_distance_threshold,distance_to_wall,is_at_wall,is_upright,success,book_x,book_y,book_z,wall_y,wall_side,euler_roll_deg,euler_pitch_deg,euler_yaw_deg,scripted_phase
20260616_172846,failure_final,0,1,500,0.04,0.11086419224739075,False,False,False,0.29329970479011536,0.14539077877998352,0.15368929505348206,0.25625497102737427,1.0,-89.41075134277344,0.6253076791763306,-89.44099426269531,5
20260616_172846,failure_final,0,2,500,0.04,0.10937266051769257,False,False,False,0.29435551166534424,0.15594951808452606,0.15484637022018433,0.26532217860221863,1.0,-89.29053497314453,0.24955540895462036,-91.06707000732422,7
20260616_172846,failure_final,0,3,500,0.04,0.1564600020647049,False,False,False,0.3406604528427124,-0.12175874412059784,0.15459905564785004,-0.27821874618530273,-1.0,-89.57534790039062,0.04326583445072174,114.56898498535156,4
20260616_172846,failure_final,0,4,500,0.04,0.10675153881311417,False,False,False,0.35372090339660645,0.10038328915834427,0.15459898114204407,0.20713482797145844,1.0,-89.57593536376953,0.04370296746492386,-89.90320587158203,5
20260616_172846,failure_final,0,5,500,0.04,0.1235254555940628,False,False,False,-0.02208198793232441,0.15176250040531158,0.1545957326889038,0.2752879559993744,1.0,-89.5809555053711,0.04250597953796387,-89.6178207397461,10
20260616_172846,failure_final,0,6,500,0.04,0.12014836072921753,False,False,False,0.2570785880088806,-0.17383027076721191,0.15459665656089783,-0.29397863149642944,-1.0,-89.57975006103516,0.04289359226822853,90.49857330322266,10
20260616_172846,failure_final,0,7,500,0.04,0.10854069888591766,False,False,False,0.05325402319431305,-0.2009555846452713,0.1545957326889038,-0.30949628353118896,-1.0,-89.5809326171875,0.04251622408628464,89.58731079101562,10
20260616_172846,failure_final,0,8,500,0.04,0.10683533549308777,False,False,False,-0.04830378293991089,0.26855728030204773,0.15459966659545898,0.3753926157951355,1.0,-89.575439453125,0.04403764754533768,-90.00704956054688,10
20260616_172846,failure_final,0,9,500,0.04,0.1164475679397583,False,False,False,0.06834809482097626,0.25860798358917236,0.1545957624912262,0.37505555152893066,1.0,-89.5809326171875,0.04250768572092056,-86.85708618164062,9
20260616_172846,failure_final,0,10,500,0.04,0.1067764163017273,False,False,False,-0.10458970069885254,-0.21858450770378113,0.15460047125816345,-0.3253609240055084,-1.0,-89.57405090332031,0.04429890215396881,90.0362548828125,10
20260616_172846,failure_final,0,11,500,0.04,0.10680007934570312,False,False,False,-0.076040118932724,-0.2519468069076538,0.15460045635700226,-0.35874688625335693,-1.0,-89.57402038574219,0.04430060833692551,90.02165985107422,10
20260616_172846,failure_final,0,12,500,0.04,0.10536228120326996,False,False,False,-0.12077313661575317,-0.10882164537906647,0.15426106750965118,-0.21418392658233643,-1.0,-89.56660461425781,0.0009715943597257137,90.17346954345703,7
20260616_172846,failure_final,0,13,500,0.04,0.10710590332746506,False,False,False,0.19713306427001953,-0.10962078720331192,0.1545957326889038,-0.21672669053077698,-1.0,-89.5809326171875,0.04251622408628464,89.94373321533203,10
20260616_172846,failure_final,0,14,500,0.04,0.10571753978729248,False,False,False,0.30263593792915344,0.26243555545806885,0.1545996367931366,0.36815309524536133,1.0,-89.57544708251953,0.044030819088220596,-89.19842529296875,4
20260616_172846,failure_final,0,15,500,0.04,0.14567716419696808,False,False,False,0.3806312680244446,0.1964384764432907,0.15460778772830963,0.3421156406402588,1.0,-89.5737533569336,0.04880682751536369,-87.69896697998047,4
20260616_172846,failure_final,0,16,500,0.04,0.16070012748241425,False,False,False,0.36617520451545715,-0.223285511136055,0.1545986831188202,-0.38398563861846924,-1.0,-89.57878112792969,0.04332730919122696,112.12431335449219,4
20260616_172846,failure_final,0,17,500,0.04,0.17488384246826172,False,False,False,0.3478080928325653,-0.11357388645410538,0.15459546446800232,-0.2884577214717865,-1.0,-89.58096313476562,0.042132023721933365,126.21177673339844,4
20260616_172846,failure_final,0,18,500,0.04,0.1162683367729187,False,False,False,0.23366820812225342,-0.20987963676452637,0.15459859371185303,-0.32614797353744507,-1.0,-89.5767593383789,0.04358856379985809,89.9531478881836,10
20260616_172846,failure_final,0,19,500,0.04,0.11318099498748779,False,False,False,0.2430630922317505,0.11105616390705109,0.15459568798542023,0.22423715889453888,1.0,-89.58100128173828,0.04248890280723572,-90.22795867919922,10
20260616_172846,failure_final,0,20,500,0.04,0.1189703494310379,False,False,False,0.282142698764801,-0.10866807401180267,0.15459860861301422,-0.22763842344284058,-1.0,-89.5767593383789,0.04358856379985809,91.9210205078125,10
20260616_172846,failure_final,0,21,500,0.04,0.1277068704366684,False,False,False,-0.20326462388038635,0.17843706905841827,0.15459899604320526,0.30614393949508667,1.0,-89.5733871459961,0.044218648225069046,-80.80413055419922,4
20260616_172846,failure_final,0,22,500,0.04,0.12419885396957397,False,False,False,-0.16106069087982178,-0.1370154619216919,0.15459699928760529,-0.26121431589126587,-1.0,-89.57933044433594,0.043100204318761826,92.06849670410156,5
20260616_172846,failure_final,0,23,500,0.04,0.15596696734428406,False,False,False,0.3151583969593048,-0.151830792427063,0.15459653735160828,-0.30779775977134705,-1.0,-89.57960510253906,0.04271600767970085,112.32393646240234,4
20260616_172846,failure_final,0,24,500,0.04,0.16626815497875214,False,False,False,0.3461763262748718,-0.18520395457744598,0.1545959711074829,-0.3514721095561981,-1.0,-89.58059692382812,0.04235230013728142,121.44961547851562,4
20260616_172846,failure_final,0,25,500,0.04,0.1096750944852829,False,False,False,0.3473640978336334,-0.2093587964773178,0.1540714055299759,-0.3190338909626007,-1.0,-90.37093353271484,1.354745626449585,90.50736236572266,5
20260616_172846,failure_final,0,26,500,0.04,0.10632364451885223,False,False,False,-0.08106870204210281,-0.1902451068162918,0.1539982408285141,-0.29656875133514404,-1.0,-89.39769744873047,0.554295539855957,89.97904205322266,7
20260616_174528,failure_final,0,1,500,0.04,0.11267484724521637,False,False,False,0.3406815826892853,-0.16736890375614166,0.15459947288036346,-0.28004375100135803,-1.0,-89.57561492919922,0.04409399628639221,84.6518325805664,4
20260616_174528,failure_final,0,2,500,0.04,0.10680095851421356,False,False,False,0.19291526079177856,-0.23506920039653778,0.1545957326889038,-0.34187015891075134,-1.0,-89.5809326171875,0.04251793026924133,90.02006530761719,10
20260616_174528,failure_final,0,3,500,0.04,0.10794025659561157,False,False,False,-0.014829933643341064,0.22657570242881775,0.15459665656089783,0.3345159590244293,1.0,-89.57974243164062,0.042898714542388916,-89.50914001464844,10
20260616_174528,failure_final,0,4,500,0.04,0.1155288890004158,False,False,False,0.03034987486898899,0.12238829582929611,0.15459667146205902,0.23791718482971191,1.0,-89.57975006103516,0.04289700463414192,-89.11188507080078,10
20260616_174528,failure_final,0,5,500,0.04,0.11216804385185242,False,False,False,-0.052250150591135025,0.2763056457042694,0.15460097789764404,0.3884736895561218,1.0,-89.57335662841797,0.044491853564977646,-87.99696350097656,10
20260616_174528,failure_final,0,6,500,0.04,0.11674810945987701,False,False,False,0.24228918552398682,-0.16127802431583405,0.154597207903862,-0.27802613377571106,-1.0,-89.57917785644531,0.043141186237335205,91.77784729003906,10
20260616_174528,failure_final,0,7,500,0.04,0.15206623077392578,False,False,False,0.326320618391037,-0.08484770357608795,0.15459708869457245,-0.23691393435001373,-1.0,-89.57888793945312,0.04295506328344345,111.96614837646484,4
20260616_174528,failure_final,0,8,500,0.04,0.10784083604812622,False,False,False,-0.012549938634037971,-0.1052003800868988,0.15484187006950378,-0.21304121613502502,-1.0,-89.44803619384766,0.2543502449989319,89.6301040649414,5
20260616_174528,failure_final,0,9,500,0.04,0.05973637104034424,False,False,False,0.4029640555381775,0.26758748292922974,0.15464967489242554,0.327323853969574,1.0,-89.5750961303711,0.049477893859148026,-132.1472930908203,4
20260616_174528,failure_final,0,10,500,0.04,0.12160797417163849,False,False,False,-0.03496638685464859,-0.20532141625881195,0.15496034920215607,-0.32692939043045044,-1.0,-89.17837524414062,0.4224322438240051,84.86065673828125,7
20260616_174528,failure_final,0,11,500,0.04,0.10677161812782288,False,False,False,0.2799169421195984,0.28205493092536926,0.15459857881069183,0.38882654905319214,1.0,-89.57676696777344,0.04358344152569771,-89.95098114013672,4
20260616_174528,failure_final,0,12,500,0.04,0.11553941667079926,False,False,False,0.3285495638847351,-0.21892614662647247,0.15409983694553375,-0.33446556329727173,-1.0,-90.12358093261719,1.2247358560562134,93.6527328491211,5
20260616_174528,failure_final,0,13,500,0.04,0.11335374414920807,False,False,False,0.3266100585460663,-0.23047266900539398,0.1545983850955963,-0.34382641315460205,-1.0,-89.57675170898438,0.043431468307971954,92.77819061279297,5
20260616_174528,failure_final,0,14,500,0.04,0.11987745761871338,False,False,False,-0.09421084821224213,-0.2542175352573395,0.15459966659545898,-0.37409499287605286,-1.0,-89.575439453125,0.04402228072285652,88.90160369873047,10
20260616_174528,failure_final,0,15,500,0.04,0.12481817603111267,False,False,False,-0.044944703578948975,0.26911476254463196,0.15459929406642914,0.39393293857574463,1.0,-89.57586669921875,0.04384981840848923,-84.22853088378906,8
20260616_174528,failure_final,0,16,500,0.04,0.10679174959659576,False,False,False,-0.015847770497202873,-0.19188152253627777,0.154597207903862,-0.29867327213287354,-1.0,-89.57917022705078,0.04314630851149559,90.02354431152344,10
20260616_174528,failure_final,0,17,500,0.04,0.1067865788936615,False,False,False,0.2462146282196045,-0.13235710561275482,0.154597207903862,-0.23914368450641632,-1.0,-89.57918548583984,0.043151430785655975,90.02315521240234,5
20260616_174528,failure_final,0,18,500,0.04,0.11200195550918579,False,False,False,-0.08377604931592941,0.17004618048667908,0.1545957326889038,0.28204813599586487,1.0,-89.5809555053711,0.04250426962971687,-87.92050170898438,5
20260616_174528,failure_final,0,19,500,0.04,0.10951215028762817,False,False,False,-0.02628956362605095,-0.25888940691947937,0.15460047125816345,-0.36840155720710754,-1.0,-89.57403564453125,0.04430060833692551,89.4859390258789,5
20260616_174528,failure_final,0,20,500,0.04,0.10262709856033325,False,False,False,0.35512474179267883,0.14328435063362122,0.1545972228050232,0.24591144919395447,1.0,-89.57921600341797,0.043134354054927826,-86.8302993774414,4
20260616_174528,failure_final,0,21,500,0.04,0.1491091102361679,False,False,False,0.3577045500278473,-0.24841152131557465,0.1545984447002411,-0.39752063155174255,-1.0,-89.57511901855469,0.04289359226822853,110.20952606201172,4
20260616_174528,failure_final,0,22,500,0.04,0.1095382422208786,False,False,False,0.02769952453672886,-0.20370866358280182,0.15460096299648285,-0.3132469058036804,-1.0,-89.5733642578125,0.044491853564977646,89.55735778808594,5
20260616_174528,failure_final,0,23,500,0.04,0.11061598360538483,False,False,False,-0.14622578024864197,0.2076859027147293,0.15459580719470978,0.31830188632011414,1.0,-89.5809326171875,0.04217812791466713,-91.45977783203125,5
20260616_174528,failure_final,0,24,500,0.04,0.11047151684761047,False,False,False,0.22488972544670105,0.14295217394828796,0.1545957326889038,0.25342369079589844,1.0,-89.5809326171875,0.04251110181212425,-90.0565185546875,10
20260616_174528,failure_final,0,25,500,0.04,0.11303003132343292,False,False,False,0.04787623882293701,0.22881890833377838,0.15459966659545898,0.3418489396572113,1.0,-89.57544708251953,0.0440291091799736,-88.65459442138672,10
20260616_174528,failure_final,0,26,500,0.04,0.10678087174892426,False,False,False,0.04138729348778725,0.22518198192119598,0.1545957326889038,0.33196285367012024,1.0,-89.5809326171875,0.04251793026924133,-89.97024536132812,10
20260616_174528,failure_final,0,27,500,0.04,0.10739664733409882,False,False,False,0.2817448675632477,-0.11535720527172089,0.15459966659545898,-0.2227538526058197,-1.0,-89.575439453125,0.04403252527117729,90.30065155029297,5
20260616_174528,failure_final,0,28,500,0.04,0.10706543922424316,False,False,False,0.00459786131978035,0.2823069095611572,0.154597207903862,0.3893723487854004,1.0,-89.57917785644531,0.043148014694452286,-89.83831024169922,10
